Title,Company,Job Desc,Logo URL,Experience,Location,Posted Date,Salary,Job ID,Job URL,Skills
React Full Stack Developer,Sorice Solutions,"Leads with engineering mindset of high resiliency,customer experience,built-in monitoring and recovery (Graceful Degradation). Automate deployments in test or production environments Identifies opportunities to adopt innovative technologies.",N/A,4-7 Yrs,Gurugram,6 Days Ago,Not disclosed,240226501107,https://www.naukri.com/job-listings-react-full-stack-developer-sorice-solutions-gurugram-4-to-7-years-240226501107,"Product management,jQuery,Db2,Coding,Debugging,Agile,Oracle,Troubleshooting"
Full Stack Developer - React,Xavian Software Solutions,"<p>React Developer</p><p><strong>Position Overview</strong></p><p>We are seeking an experienced <strong>React Developer </strong>with <strong>45+ years of professional experience </strong>in building scalable web applications. The ideal candidate will have strong expertise in modern front-end technologies and frameworks, with an added advantage if they have worked on <strong>offline data management</strong>, <strong>performance-focused UX/UI</strong>, and <strong>healthcare-related applications</strong>. We are seeking a skilled Full Stack Developer with expertise in React for front-end development, proficiency in building middleware using C# .NET Core, and a strong understanding of database design and management.</p><p><strong>Key Responsibilities</strong></p><ul><li>Develop and maintain high-quality, scalable, and reusable React components.</li><li>Collaborate with designers, product managers, and backend developers to deliver seamless user experiences.</li><li>Optimize applications for maximum speed and scalability.</li><li>Implement the middleware in C# .net core.</li><li>Write the backend queries and stored procedures.</li><li>Implement state management solutions (Redux, Context API, or similar).</li><li>Ensure cross-browser compatibility and responsive design.</li><li>Integrate RESTful APIs and GraphQL endpoints.</li><li>Write clean, maintainable, and testable code following industry best practices.</li><li>Troubleshoot, debug, and upgrade existing applications.</li><li>Participate in code reviews and mentor junior developers.</li><li>Stay updated with emerging front-end technologies and frameworks.</li></ul><p><strong>Required Skills & Qualifications</strong></p><ul><li>Bachelors degree in Computer Science, Engineering, or related field.</li><li>4-5+ years of professional experience in front-end development.</li><li>Strong proficiency in <strong>JavaScript (ES6+), React.js, and TypeScript</strong>.</li><li>Experience with <strong>HTML5, CSS3, and modern styling frameworks </strong>(Sass, Styled Components, Tailwind).</li><li>We are seeking a Full Stack Developer with strong expertise in .NET Core and proficiency in developing middleware using C#.</li></ul><ul><li>The ideal candidate should also possess in-depth knowledge of database structures, including designing and managing tables, writing complex queries, and creating efficient stored procedures.</li><li>Familiarity with <strong>Webpack, Babel, and other build tools</strong>.</li><li>Knowledge of <strong>offline data management techniques </strong>(local storage, IndexedDB, caching strategies).</li><li>Experience in building <strong>fast, responsive, and intuitive UI/UX</strong>.</li><li>Advantage: Exposure to <strong>healthcare applications </strong>and compliance standards (HIPAA, HL7, FHIR).</li><li>Strong problem-solving and communication skills.</li></ul>",N/A,5-10 Yrs,Noida,3 Days Ago,Not disclosed,270226935994,https://www.naukri.com/job-listings-full-stack-developer-react-xavian-software-solutions-private-limited-noida-5-to-10-years-270226935994,"React.js,TypeScript,JavaScript,HTML5,responsive design,code reviews,front-end development,RESTful APIs"
Full Stack Developer,Starclinch,"We are seeking a talented and motivated . Senior Developer . with 35 years of experience in . React.js,. Next.js,and . Python Django.The ideal candidate will be responsible for developing high-performance web applications and scalable backend services,collaborating with cross-functional teams to deliver robust software solutions<br><br> 3-5 years of hands-on development experience",N/A,4-5 Yrs,New Delhi,6 Days Ago,Not disclosed,240226929901,https://www.naukri.com/job-listings-full-stack-developer-starclinch-new-delhi-4-to-5-years-240226929901,"react.js,git,version control,javascript,django,nextjs,continuous integration,kubernetes"
Cloud Full Stack Developer,IBM,"<div> <div>As a Software Developer: Generalist, you will design, develop, test, and deliver offerings using leading-edge and/or proven technologies. You will work in an Agile, collaborative environment to understand stakeholder requirements and contribute to the development of innovative software solutions.  <br /><b>Your primary responsibilities will include:</b> <br /><li> Develop Component-Level Solutions: Design, code, and test innovative component-level software solutions, ensuring that the implemented solutions are unit tested and ready to be integrated into their product. <br /></li><li> Contribute to CI/CD Pipeline: Contribute to the automated CI/CD pipeline that takes code through various quality stages, ensuring seamless integration and delivery. <br /></li><li> Debug Customer-Reported Problems: Design, develop, and unit test code fixes for customer-reported problems, collaborating with stakeholders to resolve issues efficiently. <br /></li><li> Deliver Offerings: Deliver high-quality offerings using leading-edge and/or proven technologies, meeting stakeholder requirements and expectations. <br /></li><li> Collaborate with Stakeholders: Work in an Agile, collaborative environment to understand stakeholder requirements, providing input and guidance to ensure successful solution delivery.</li></div>  <br /><b>Required education</b> </div> <div> Bachelor's Degree </div> <br /><b>Preferred education</b>  <div> Master's Degree </div> <br /><b>Required technical and professional expertise</b>  <div> <br /><li> Software Development Expertise: Experience with designing, developing, testing, and delivering software solutions using leading-edge and/or proven technologies. </li></div> <div> <br /><li> Agile Development Methodologies: Experience working in an Agile, collaborative environment to understand stakeholder requirements and deliver high-quality software solutions. </li></div> <div> <br /><li> Component-Level Design: Experience with designing, coding, and testing innovative component-level software solutions, ensuring unit testing and integration readiness. </li></div> <div> <br /><li> CI/CD Pipeline Development: Experience contributing to automated CI/CD pipelines, ensuring seamless integration and delivery of software solutions. </li></div> <div> <br /><li> Debugging and Problem-Solving: Experience with designing, developing, and unit testing code fixes for complex software problems, collaborating with stakeholders to resolve issues efficiently.</li></div> <br /><b>Preferred technical and professional experience</b>  <div> <br /><li> Leading-Edge Technologies: Experience with designing, developing, and delivering software solutions using leading-edge technologies, including back-end and front-end development, and DevOps engineering. </li></div> <div> <br /><li> Agile Collaboration: Experience working in an Agile environment, collaborating with stakeholders to understand requirements and deliver high-quality software solutions. </li></div> <div> <br /><li> Automated CI/CD Pipelines: Experience contributing to automated CI/CD pipelines, ensuring seamless integration and delivery of software solutions.</li></div>  <br /><strong>Years of Experience:</strong> <br />6 - 15 Yrs.",N/A,6-11 Yrs,Hyderabad,6 Days Ago,Not disclosed,240226940943,https://www.naukri.com/job-listings-cloud-full-stack-developer-ibm-india-pvt-limited-hyderabad-6-to-11-years-240226940943,"full stack developer,front end,devops engineering,software development,unit testing,solution delivery,agile development,level design"
Full Stack Developer,Pyrite Technologies,"<div> <strong> Position Overview </strong> <br /> We re seeking an experienced Senior Full-Stack Developer. You ll work with a talented team based in India to develop a scalable, robust platform that leverages AI/ML technologies including LLMs to deliver industry-specific SEO insights and implementation guidance. </div> <div> <strong> Key Responsibilities </strong> </div> <ul> <li> Architecture Implementation: Implement scalable system architecture for web crawling, data analysis, and user interfaces </li> </ul> <ul> <li> Full-Stack Development: Build robust backend services and responsive frontend components </li> </ul> <ul> <li> AI Integration: Implement LLM integration using OpenRouter to power implementation guidance and task creation </li> </ul> <ul> <li> Database Design: Design and optimize PostgreSQL and MongoDB databases for SEO data </li> </ul> <ul> <li> Code Quality: Follow established coding standards and ensure technical excellence </li> </ul> <ul> <li> Team Collaboration: Work closely with backend developers, frontend developers, DevOps, and UX designers </li> </ul> <ul> <li> Agile Process: Participate in sprint planning, daily standups, and retrospectives </li> </ul> <div> <strong> Required Qualifications </strong> </div> <ul> <li> 3+ years of full-stack development experience </li> </ul> <ul> <li> Strong proficiency in Node.js and Express.js backend development </li> </ul> <ul> <li> Expert knowledge of React.js and frontend technologies </li> </ul> <ul> <li> Experience with PostgreSQL and MongoDB databases </li> </ul> <ul> <li> Familiarity with AWS cloud services </li> </ul> <ul> <li> Understanding of microservices architecture </li> </ul> <ul> <li> Experience with CI/CD pipelines and DevOps practices </li> </ul> <ul> <li> Strong problem-solving skills and attention to detail </li> </ul> <ul> <li> Excellent written and verbal communication skills </li> </ul> <ul> <li> Ability to work in a fast-paced startup environment </li> </ul> <div> <strong> Preferred Qualifications </strong> </div> <ul> <li> Experience with web crawling technologies (Puppeteer/Playwright) </li> </ul> <ul> <li> Knowledge of SEO principles and technical SEO </li> </ul> <ul> <li> Experience integrating with LLM APIs (OpenAI, Azure OpenAI) </li> </ul> <ul> <li> Familiarity with Redis for caching and queue management </li> </ul> <ul> <li> Experience with containerization (Docker) </li> </ul> <ul> <li> Background in building SaaS products </li> </ul> <div> <strong> Technical Skills </strong> </div> <ul> <li> Frontend: React.js, Next.js, Redux, Material-UI, Tailwind CSS </li> </ul> <ul> <li> Backend: Node.js, Express.js, GraphQL </li> </ul> <ul> <li> Database: PostgreSQL, MongoDB, Redis </li> </ul> <ul> <li> Cloud: AWS (EC2, ECS, S3, CloudFront) </li> </ul> <ul> <li> DevOps: Docker, GitHub Actions, AWS CloudWatch </li> </ul> <ul> <li> API Integration: RESTful APIs, OpenRouter/OpenAI </li> </ul> <ul> <li> Testing: Jest, Cypress </li> </ul> <div> <strong> What We Offer </strong> </div> <ul> <li> Opportunity to shape a cutting-edge product from the ground up </li> </ul> <ul> <li> Competitive salary and benefits </li> </ul> <ul> <li> Work from home opportunity </li> </ul> <ul> <li> Exposure to advanced AI/ML technologies </li> </ul> <ul> <li> Clear path for career growth as the company expands </li> </ul> <ul> <li> Collaborative and innovative team culture </li> </ul>",N/A,3-8 Yrs,Hyderabad,1 Day Ago,Not disclosed,020326505716,https://www.naukri.com/job-listings-full-stack-developer-pyrite-technologies-hyderabad-3-to-8-years-020326505716,"System architecture,PPC,Data analysis,Backend,Coding,Database design,Postgresql,Web development"
Full Stack Developer,Smarthelio," . Proficiency in collaboration tools and documentation tools such as MS Office,Google Docs,etc . Why Join SmartHelio . Work with a mission-driven team accelerating the global energy transition . Be part of an AI-driven innovation shaping the next phase of solar intelligence . <br><br>Experience:  2 3 years in Solar,Energy SaaS,or IPP",N/A,10-20 Yrs,Noida,4 Days Ago,Not disclosed,260226505900,https://www.naukri.com/job-listings-full-stack-developer-smarthelio-noida-10-to-20-years-260226505900,"Market development,Strategic partnerships,digital asset management,Solar energy,Transition,MS Office,Portfolio management,Operations"
Full Stack Developer Java_React_Vue_Kotlin,Mercedes Benz,"<div><div><p><strong>Key Responsibilities:</strong></p><ul><li>Design, develop, and maintain scalable web applications using React, Vue.js, Java Spring Boot, and Kotlin.</li><li>Build and integrate user-facing features with efficient, reusable components and services.</li><li>Develop and maintain robust RESTful APIs and microservices.</li><li>Work with relational and non-relational databases to manage data operations efficiently.</li><li>Participate in architectural discussions and contribute to the design of scalable, reliable solutions.</li><li>Collaborate with UI/UX designers, product owners, and other developers in an Agile environment.</li><li>Write clean, testable, and efficient code and participate in code reviews.</li><li>Troubleshoot, debug, and optimize performance across the stack.</li><li>Keep up to date with the latest industry trends and best practices in full stack development.</li></ul><p><strong>Required Skills and Experience:</strong></p><ul><li>Strong experience with React and/or Vue.js for front-end development.</li><li>Proficiency in Java (Spring Boot) and Kotlin for back-end development.</li><li>Experience building RESTful APIs and working with microservices architecture.</li><li>Good understanding of front-end tools and build systems (Webpack, Babel, etc.).</li><li>Familiarity with databases such as PostgreSQL, MySQL, or MongoDB.</li><li>Experience with version control systems like Git.</li><li>Knowledge of containerization tools like Docker and CI/CD pipelines is a plus.</li><li>Strong problem-solving skills, attention to detail, and ability to work independently or in a team.</li></ul></div></div><div><div><div><div><div><p><strong>Qualifications</strong></p><p>Bachelors degree in Computer Science, Engineering, or a related field.</p></div></div></div></div></div>",N/A,4-8 Yrs,Bengaluru,3 Days Ago,Not disclosed,270226921950,https://www.naukri.com/job-listings-full-stack-developer-java-react-vue-kotlin-mercedes-benz-research-and-development-india-pvt-ltd-bengaluru-4-to-8-years-270226921950,"kotlin,vue.js,javascript,react.js,java,rest,continuous integration,ci/cd"
Full Stack Developer -  AI (Microsoft Low Code),Suzva Software Technologies,"We are seeking a highly skilled Full Stack Developer with strong Microsoft Low Code AI experience to design and build modern applications using Copilot Studio,Dataverse,AI integrations,and full stack technologies in a fully remote environment. Key Responsibilities",N/A,5-7 Yrs,"Mumbai, Delhi / NCR, Bengaluru",7 Days Ago,Not disclosed,230226923211,https://www.naukri.com/job-listings-full-stack-developer-ai-microsoft-low-code-suzva-software-technology-mumbai-delhi-ncr-bengaluru-5-to-7-years-230226923211,"Full Stack Developer,Azure,Ai Integration,Ai,Full Stack,Rest Api,Llm,React"
Full Stack Developer with AI (Microsoft Low Code AI),Suzva Software Technologies,"We are seeking a highly skilled Full Stack Developer with strong Microsoft Low Code AI experience to design and build modern applications using Copilot Studio,Dataverse,AI integrations,and full stack technologies in a fully remote environment. Key Responsibilities <br><br>MANDATORY Primary Skills (Must be in Resume",N/A,5-10 Yrs,"Chennai, Bengaluru, Delhi / NCR",7 Days Ago,Not disclosed,230226923104,https://www.naukri.com/job-listings-full-stack-developer-with-ai-microsoft-low-code-ai-suzva-software-technology-chennai-bengaluru-delhi-ncr-5-to-10-years-230226923104,"full stack developer,front end,rest,full stack development,rest api,ai,react,llm"
Full Stack Developer with AI (Microsoft Low Code AI),Suzva Software Technologies,"Role Overview . We are seeking a highly skilled Full Stack Developer with strong Microsoft Low Code AI experience to design and build modern applications using Copilot Studio,Dataverse,AI integrations,and full stack technologies in a fully remote environment.  . Key Responsibilities <br><br>MANDATORY Primary Skills (Must be in Resume Only then Profile will be processed)",N/A,5-8 Yrs,"Hyderabad, Bengaluru, Delhi / NCR",8 Days Ago,Not disclosed,230226907799,https://www.naukri.com/job-listings-full-stack-developer-with-ai-microsoft-low-code-ai-suzva-software-technology-hyderabad-bengaluru-delhi-ncr-5-to-8-years-230226907799,"Full Stack Development,front end,rest,css,rest api,full stack developer,ai,react"
